"","SPY","AAPL","YHOO"
"2001-01-03",0.0480349400044009,0.100840081309277,0.0975609756097561
"2001-01-04",-0.0107644537915358,0.0419853251073622,-0.0444444444444444
"2001-01-05",-0.0326424813695803,-0.0402935858074932,-0.0359408033826638
"2001-01-08",0.00774068409407195,0.0114510440549791,-0.0460526315789474
"2001-01-09",-0.00264077559729733,0.0377352838112391,0.108045977011494
"2001-01-10",0.017569561313455,-0.0363631114793077,0.012448132780083
"2001-01-11",0.000946068397750159,0.0867919698023316,-0.151639344262295
"2001-01-12",-0.00189035846409,-0.0451389846025593,0.0265700483091787
"2001-01-16",0.00639169634436414,-0.00363569878288057,0.0305882352941176
"2001-01-17",0.00458727673872266,-0.0182483386057196,0.105022831050228
"2001-01-18",0.00995188692190534,0.11152428657922,0.138429752066116
"2001-01-19",-0.00568039625345463,0.0434783308337464,-0.0181488203266788
"2001-01-22",0.00664556945048064,-0.0128212443423214,0.0258780036968577
"2001-01-23",0.00787584684309917,0.0649356938549477,0.122972194594595
"2001-01-24",0.00298815537585419,0,0.100682672274231
"2001-01-25",-0.00252096037619705,-0.0274391272522441,-0.0860058309037901
"2001-01-26",-0.00114829418643037,-0.0188091013094198,-0.0382775119617225
"2001-01-29",0.00533583257008228,0.108626311040332,0.0580431177446103
"2001-01-30",0.00878474790082842,0.00288201021078814,-0.00470219435736677
"2001-01-31",-0.0056603723998827,-0.00574745619413871,-0.0598425196850394
